metrics	av_accuracy	av_time	accuracy	time	storage	av_storage
['3', 'equal', 'majority_class', 'minkowski', 'full']	0.9634609573579338	0.19068293571472167	"[0.96276596 0.96296296 0.92063492 0.96825397 0.94179894 0.97368421
 0.97354497 0.97883598 0.9787234  0.97340426]"	"[0.17748761 0.27227259 0.24135351 0.17852449 0.17453146 0.17453361
 0.16854882 0.16851115 0.16856003 0.18250608]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['3', 'equal', 'majority_class', 'minkowski', 'enn']	0.9634553582537905	0.18210055828094482	"[0.96276596 0.96296296 0.92592593 0.96296296 0.94179894 0.97894737
 0.97354497 0.97883598 0.97340426 0.97340426]"	"[0.16195154 0.17133617 0.18357825 0.18054032 0.18211365 0.18611193
 0.18006897 0.1686666  0.23736739 0.16927075]"	"[99.         98.88169511 98.58740436 98.82283696 98.70512066 98.58657244
 98.64626251 98.76397881 98.52941176 98.47058824]"	98.69938708489924
['3', 'equal', 'majority_class', 'minkowski', 'menn']	0.9666215183348441	0.16065621376037598	"[0.96808511 0.97883598 0.94179894 0.97883598 0.94708995 0.97894737
 0.96825397 0.97883598 0.96276596 0.96276596]"	"[0.15263462 0.17437363 0.15366149 0.1516881  0.20048046 0.15372109
 0.15286636 0.16185141 0.15366983 0.15161514]"	"[93.23529412 93.34902884 94.64390818 93.6433196  93.87875221 93.46289753
 93.17245438 93.5256033  92.76470588 92.70588235]"	93.43818463891546
['3', 'equal', 'majority_class', 'minkowski', 'fcnn']	0.756831766176671	0.059860062599182126	"[0.7393617  0.84126984 0.63492063 0.71428571 0.87301587 0.73157895
 0.83597884 0.79365079 0.72340426 0.68085106]"	"[0.06069112 0.08895659 0.0503552  0.06136775 0.09105158 0.06248951
 0.06061792 0.05244422 0.06059527 0.01003146]"	"[38.11764706 53.9140671  36.60977045 36.66862861 57.0924073  35.39458186
 36.433196   35.55032372 37.05882353  9.        ]"	37.58394456217026
['3', 'equal', 'majority_class', 'minkowski', 'drop3']	0.96927264970938	0.1559706449508667	"[0.96276596 0.96825397 0.95238095 0.97354497 0.95767196 0.97894737
 0.97354497 0.98412698 0.97340426 0.96808511]"	"[0.14973497 0.15150642 0.15169621 0.20487976 0.15166974 0.15157747
 0.161515   0.15167952 0.14180303 0.14364433]"	"[93.11764706 93.23131254 93.58446145 93.5256033  93.5256033  92.93286219
 93.05473808 93.11359623 92.88235294 92.88235294]"	93.18505300231016
