metrics	av_accuracy	av_time	accuracy	time	storage	av_storage
['1', 'mutual_info', 'majority_class', 'minkowski', 'full']	0.966337400620086	0.87602858543396	"[0.97066667 0.96560847 0.9734748  0.94164456 0.96296296 0.96825397
 0.95502646 0.97354497 0.97612732 0.97606383]"	"[1.36509132 0.82080579 0.80584383 0.82379913 0.80381465 0.81282878
 0.81681442 0.85072732 0.84972811 0.8108325 ]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['1', 'mutual_info', 'majority_class', 'minkowski', 'enn']	0.966337400620086	0.8120166778564453	"[0.97066667 0.96560847 0.9734748  0.94164456 0.96296296 0.96825397
 0.95502646 0.97354497 0.97612732 0.97606383]"	"[0.84071445 0.80983162 0.80685735 0.81677628 0.80979848 0.81179357
 0.80181837 0.79986191 0.81587172 0.80684304]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['1', 'mutual_info', 'majority_class', 'minkowski', 'menn']	0.966337400620086	0.8153235435485839	"[0.97066667 0.96560847 0.9734748  0.94164456 0.96296296 0.96825397
 0.95502646 0.97354497 0.97612732 0.97606383]"	"[0.82415891 0.79923797 0.79934907 0.80638027 0.78873968 0.85365438
 0.81817269 0.82132268 0.78914499 0.85307479]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['1', 'mutual_info', 'majority_class', 'minkowski', 'fcnn']	0.9260252155713637	0.16901032924652098	"[0.93866667 0.94973545 0.96286472 0.92572944 0.93386243 0.94444444
 0.92592593 0.93915344 0.80901857 0.93085106]"	"[0.13159704 0.15372014 0.20066094 0.262918   0.14717388 0.11589336
 0.16185045 0.19222426 0.0534873  0.27057791]"	"[19.04621725 20.80141426 28.45360825 37.93814433 23.6888627  15.70418385
 23.77725398 26.19328226  8.42415317 25.88339223]"	22.99105122740284
['1', 'mutual_info', 'majority_class', 'minkowski', 'drop3']	0.966337400620086	0.7981331825256348	"[0.97066667 0.96560847 0.9734748  0.94164456 0.96296296 0.96825397
 0.95502646 0.97354497 0.97612732 0.97606383]"	"[0.78927088 0.78648782 0.78604984 0.81781125 0.79099917 0.79180455
 0.81958413 0.77308083 0.83955288 0.78669047]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
