metrics	av_accuracy	av_time	accuracy	time	storage	av_storage
['3', 'mutual_info', 'majority_class', 'minkowski', 'full']	0.9628834361285572	1.2820839643478394	"[0.95466667 0.95238095 0.97082228 0.9602122  0.97619048 0.96560847
 0.95767196 0.95767196 0.96286472 0.97074468]"	"[1.44477463 1.53527784 1.28688645 1.36233592 1.41937852 0.93970132
 1.08702016 1.53086829 1.14572001 1.0688765 ]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['3', 'mutual_info', 'majority_class', 'minkowski', 'enn']	0.9591719947588621	0.888185977935791	"[0.952      0.95238095 0.96816976 0.95225464 0.96825397 0.96296296
 0.95502646 0.95238095 0.96286472 0.96542553]"	"[0.77142215 0.8389442  0.88625121 0.79881287 0.83689451 0.99633336
 0.84642291 0.88019633 1.00242734 1.0241549 ]"	"[97.93935826 97.96700059 97.49631811 97.84977909 98.02592811 98.37949322
 97.99646435 97.49558044 97.90868925 96.76089517]"	97.78195065846894
['3', 'mutual_info', 'majority_class', 'minkowski', 'menn']	0.9565250849311011	0.770958948135376	"[0.952      0.94708995 0.96551724 0.95490716 0.97089947 0.96031746
 0.94444444 0.94444444 0.96286472 0.96276596]"	"[0.75748563 0.81770921 0.77788424 0.76426053 0.76832914 0.77118015
 0.75534177 0.7834487  0.75522232 0.75872779]"	"[96.49690904 96.84737773 96.99558174 97.11340206 97.02416028 97.14201532
 96.84737773 96.34649381 96.78939617 96.67255595]"	96.82752698235183
['3', 'mutual_info', 'majority_class', 'minkowski', 'fcnn']	0.9130678813374338	0.14856150150299072	"[0.93866667 0.92592593 0.92572944 0.84615385 0.88624339 0.96825397
 0.85449735 0.91798942 0.92572944 0.94148936]"	"[0.12026215 0.17834044 0.07878995 0.17234564 0.07276225 0.28512383
 0.12124348 0.1009419  0.171242   0.1845634 ]"	"[11.62790698 26.72362994 12.19440353 26.27393225 12.1685327  41.51443724
 18.91573365 15.40954626 22.70986745 26.64899882]"	21.418698882680776
['3', 'mutual_info', 'majority_class', 'minkowski', 'drop3']	0.9541420348706483	0.7296933889389038	"[0.95466667 0.94444444 0.9602122  0.95225464 0.96296296 0.95767196
 0.94708995 0.94179894 0.9602122  0.96010638]"	"[0.71688104 0.72809172 0.71959019 0.73308086 0.73298693 0.74851561
 0.72905993 0.73935199 0.72383547 0.72554016]"	"[93.84751251 94.51974072 93.96170839 94.52135493 94.43134944 95.37418975
 93.95992929 93.28226282 93.75552283 93.02120141]"	94.0674772090007
