metrics	av_accuracy	av_time	accuracy	time	storage	av_storage
['5', 'equal', 'majority_class', 'chebyshev', 'full']	0.9660952321702603	1.36025390625	"[0.96276596 0.96296296 0.94179894 0.97354497 0.95238095 0.97894737
 0.97354497 0.97883598 0.96276596 0.97340426]"	"[1.41517568 1.3753264  1.35936356 1.35535955 1.32242632 1.40424752
 1.33845949 1.34043264 1.3253994  1.36634851]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['5', 'equal', 'majority_class', 'chebyshev', 'enn']	0.9676853481220784	2.0773640155792235	"[0.96276596 0.96825397 0.94179894 0.97883598 0.95238095 0.97894737
 0.97354497 0.97883598 0.96276596 0.9787234 ]"	"[4.572541   2.37564874 1.7802403  1.58974981 1.84351516 2.33380318
 1.78419065 1.64356971 1.38928628 1.46109533]"	"[98.41176471 97.99882284 98.23425544 98.17539729 98.58740436 97.93875147
 98.11653914 97.99882284 98.         98.17647059]"	98.16382286734421
['5', 'equal', 'majority_class', 'chebyshev', 'menn']	0.9602779110897812	1.4185457468032836	"[0.96276596 0.94179894 0.94708995 0.96296296 0.94708995 0.97368421
 0.96296296 0.96825397 0.96808511 0.96808511]"	"[1.5009861  1.23469925 1.27060294 1.44510007 1.37532282 1.72838402
 1.54390907 1.24068332 1.68150449 1.16426539]"	"[87.88235294 87.75750441 88.58151854 86.63919953 87.11006474 86.98468787
 86.69805768 87.34549735 86.64705882 87.29411765]"	87.29400595399979
['5', 'equal', 'majority_class', 'chebyshev', 'fcnn']	0.6626313715731409	0.5009560585021973	"[0.53723404 0.80952381 0.57671958 0.57142857 0.85185185 0.58947368
 0.59259259 0.67195767 0.55851064 0.86702128]"	"[0.34841323 0.79200196 0.37600064 0.34918237 0.7919991  0.36000037
 0.352      0.36800122 0.35999823 0.91196346]"	"[26.11764706 58.74043555 27.78104768 26.36845203 57.0924073  27.3262662
 26.42731018 27.72218952 26.94117647 62.70588235]"	36.722281433803005
['5', 'equal', 'majority_class', 'chebyshev', 'drop3']	0.7954821747038991	0.011341452598571777	"[0.71808511 0.78835979 0.76719577 0.81481481 0.80952381 0.86315789
 0.82539683 0.76190476 0.83510638 0.7712766 ]"	"[0.0079999  0.00805426 0.01563692 0.01562619 0.         0.01596093
 0.01599908 0.01599932 0.01013756 0.00800037]"	"[0.76470588 0.64743967 0.82401413 0.94173043 0.58858152 0.82449941
 0.58858152 1.00058858 0.82352941 0.76470588]"	0.7768376432156916
