model	accuracy	time	accuracy/time
5-equal-majority_class-chebyshev	0.9660952320000001	1.219895101	0.7919494317241299
3-equal-majority_class-chebyshev	0.9655717590000001	1.2299602039999997	0.7850430898982163
3-mutual_info-majority_class-chebyshev	0.9581529769999999	1.222989296	0.7834516460068838
1-mutual_info-majority_class-chebyshev	0.9528563430000002	1.218966984	0.7816916745958398
3-relief-majority_class-chebyshev	0.9581557920000001	1.243512107	0.7705238948670728
7-equal-majority_class-chebyshev	0.968751903	1.262848304	0.7671166045292483
5-relief-majority_class-chebyshev	0.9687491790000001	1.2636982669999999	0.7665984865990167
7-relief-majority_class-chebyshev	0.9703392049999999	1.2660501480000002	0.7664303080986645
5-mutual_info-majority_class-chebyshev	0.958656747	1.253401661	0.7648440055801075
1-relief-majority_class-chebyshev	0.951798112	1.250016021	0.7614287305202466
7-mutual_info-majority_class-chebyshev	0.955490616	1.256384706	0.7605079968237054
1-equal-majority_class-chebyshev	0.9560254370000001	1.4039562	0.6809510417775142
1-equal-sheppard_work-chebyshev	0.5095379120000001	1.2189470029999998	0.4180148199601424
1-equal-inverse_distance-chebyshev	0.517522115	1.2552269939999998	0.4122936468652777
3-relief-inverse_distance-chebyshev	0.5148260729999999	1.250443889	0.4117146539151905
1-mutual_info-sheppard_work-chebyshev	0.501581703	1.221055293	0.41077722350121293
1-mutual_info-inverse_distance-chebyshev	0.504845891	1.2382020470000001	0.4077249688152066
3-mutual_info-sheppard_work-chebyshev	0.495224083	1.2234801530000001	0.4047667481860655
3-mutual_info-inverse_distance-chebyshev	0.5074356379999999	1.254222225	0.4045819216765992
1-relief-inverse_distance-chebyshev	0.502150174	1.2559619419999999	0.39981320867125447
3-equal-inverse_distance-chebyshev	0.503185831	1.258874321	0.3997109342895239
1-relief-sheppard_work-chebyshev	0.49524650700000006	1.253003334	0.3952475572582954
5-equal-inverse_distance-chebyshev	0.49200187200000006	1.2516143309999996	0.39309383075448356
3-equal-sheppard_work-chebyshev	0.493104778	1.2564087860000002	0.39247160915667134
5-equal-sheppard_work-chebyshev	0.492536601	1.2681465380000003	0.3883909203243828
3-relief-sheppard_work-chebyshev	0.499426048	1.302410794	0.383462767892263
