metrics	av_accuracy	av_time	accuracy	time
['1' 'relief' 'majority_class' 'minkowski']	0.9255242026688835	0.7660690546035767	"[0.936      0.92063492 0.91777188 0.92838196 0.91269841 0.91798942
 0.92328042 0.92328042 0.92307692 0.95212766]"	"[0.76101184 0.76670671 0.77797914 0.76397181 0.76602101 0.7688868
 0.76422787 0.7684207  0.7602663  0.76319838]"
['1' 'relief' 'majority_class' 'euclidean']	0.9191552807183037	0.7642274141311646	"[0.92533333 0.91005291 0.91246684 0.9204244  0.9021164  0.92592593
 0.91798942 0.91534392 0.92572944 0.93617021]"	"[0.75765228 0.77117705 0.76161194 0.76803589 0.76344538 0.76415277
 0.76753139 0.76635957 0.76131177 0.7609961 ]"
['1' 'relief' 'majority_class' 'chebyshev']	0.9090791426475212	9.4816725730896	"[0.90933333 0.8968254  0.90981432 0.90981432 0.89417989 0.91534392
 0.91005291 0.90740741 0.90450928 0.93351064]"	"[9.29212403 9.51339459 9.54598546 9.7053144  9.56548929 9.4270041
 9.39374328 9.63502955 9.34003854 9.39860249]"
['1' 'relief' 'inverse_distance' 'minkowski']	0.5179110417150036	0.7618759155273438	"[0.37066667 0.54232804 0.49602122 0.41114058 0.6005291  0.56349206
 0.53439153 0.51851852 0.5994695  0.54255319]"	"[0.76129794 0.76579452 0.76100516 0.76194954 0.76255512 0.76814842
 0.7618854  0.76493621 0.75570059 0.75548625]"
['1' 'relief' 'inverse_distance' 'euclidean']	0.4978358941213673	0.7653987407684326	"[0.54133333 0.52116402 0.41114058 0.43501326 0.53174603 0.44973545
 0.59259259 0.53174603 0.57824934 0.3856383 ]"	"[0.75811052 0.76973271 0.75837755 0.75808477 0.76656747 0.76947212
 0.76182985 0.76059031 0.76393819 0.7872839 ]"
['1' 'relief' 'inverse_distance' 'chebyshev']	0.5152291658343017	10.153078484535218	"[0.43733333 0.52380952 0.42175066 0.48806366 0.57671958 0.57671958
 0.62169312 0.58730159 0.4933687  0.42553191]"	"[ 9.20819283  9.39950562  9.42096829  9.80516815  9.87795758 10.69600725
 10.13225794 10.04947972 11.15229702 11.78895044]"
['1' 'relief' 'sheppard_work' 'minkowski']	0.5179110417150036	0.9581931591033935	"[0.37066667 0.54232804 0.49602122 0.41114058 0.6005291  0.56349206
 0.53439153 0.51851852 0.5994695  0.54255319]"	"[0.79867387 0.91276503 0.98491144 0.95862556 1.00641131 0.99667263
 0.98214459 1.00407481 0.97028685 0.9673655 ]"
['1' 'relief' 'sheppard_work' 'euclidean']	0.4978358941213673	0.9812785387039185	"[0.54133333 0.52116402 0.41114058 0.43501326 0.53174603 0.44973545
 0.59259259 0.53174603 0.57824934 0.3856383 ]"	"[0.93467784 0.96229815 0.97556114 0.98924255 0.97656631 0.97367001
 1.03489637 0.98892999 1.00914145 0.96780157]"
['1' 'relief' 'sheppard_work' 'chebyshev']	0.5176192743209619	10.773052525520324	"[0.44533333 0.52380952 0.42440318 0.4933687  0.57936508 0.57671958
 0.62433862 0.58730159 0.49602122 0.42553191]"	"[ 9.33556747  9.71239281 11.91839075 10.0701611   9.53806591 10.97247791
 11.8736732  11.26472569 11.11221504 11.93285537]"
['3' 'equal' 'majority_class' 'minkowski']	0.9350592585426043	0.7664930343627929	"[0.944      0.93650794 0.94429708 0.92307692 0.93650794 0.92328042
 0.93386243 0.92592593 0.94164456 0.94148936]"	"[0.7712853  0.76681376 0.76668501 0.76184106 0.76510549 0.76468825
 0.7721014  0.76575351 0.76243401 0.76822257]"
