metrics	av_accuracy	av_time	accuracy	time	storage	av_storage
['3', 'mutual_info', 'majority_class', 'chebyshev', 'full']	0.9636799087817431	22.4517333984375	"[0.95733333 0.95502646 0.9602122  0.95225464 0.97089947 0.96296296
 0.96031746 0.96560847 0.97877984 0.97340426]"	"[20.49441028 25.07467437 23.36563087 21.53156376 25.13963723 21.93321061
 21.86138439 21.58159637 21.13858199 22.39664412]"	[100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]	100.0
['3', 'mutual_info', 'majority_class', 'chebyshev', 'enn']	0.957583312177076	13.299905586242676	"[0.95733333 0.94444444 0.9602122  0.9469496  0.97089947 0.96031746
 0.95767196 0.95767196 0.95490716 0.96542553]"	"[10.86545038 13.21235299 12.43087268 11.25047612 12.03736997 17.31922174
 15.85848498 12.94711781 14.0903306  12.9873786 ]"	"[96.93847513 97.34826164 97.70250368 97.90868925 97.25987036 98.11431939
 97.93753683 97.84914555 97.90868925 97.29093051]"	97.62584215767329
['3', 'mutual_info', 'majority_class', 'chebyshev', 'menn']	0.9570457235843151	12.156896352767944	"[0.94133333 0.94708995 0.9602122  0.94960212 0.96825397 0.95767196
 0.96031746 0.95238095 0.96816976 0.96542553]"	"[12.08908963 12.68628788 11.07725286 14.4005599  11.99290776 11.62947011
 11.83247542 11.32990575 11.62746978 12.90354443]"	"[96.93847513 97.43665292 96.96612666 96.52430044 97.46611668 97.3777254
 97.11255156 96.87684148 97.43740795 97.02591284]"	97.1162111053004
['3', 'mutual_info', 'majority_class', 'chebyshev', 'fcnn']	0.8450851496211731	2.1875603914260866	"[0.71466667 0.88888889 0.90450928 0.82493369 0.89417989 0.81216931
 0.82275132 0.91798942 0.79310345 0.87765957]"	"[2.93050694 1.77607965 0.93010473 1.66661358 6.50934029 2.75605035
 2.31596088 0.84789944 1.68566108 0.45738697]"	"[15.9258169  14.23099588  7.65832106 14.40353461 12.13906895 14.87919859
 13.61225692  5.45079552 13.69661267  3.18021201]"	11.517681309868712
['3', 'mutual_info', 'majority_class', 'chebyshev', 'drop3']	0.9491064461936803	5.363727974891662	"[0.952      0.93915344 0.9469496  0.93899204 0.95502646 0.95767196
 0.94444444 0.93650794 0.9602122  0.96010638]"	"[5.12616229 5.30704069 5.33814287 5.31844449 5.26677275 5.63438416
 5.48430419 5.47972608 5.42584801 5.25645423]"	"[46.71769208 47.28933412 47.24594993 47.56995582 46.87684148 47.73129051
 48.08485563 48.20271067 47.51104566 47.14369847]"	47.43733743592868
