Names	adjusted_mutual_info_score	adjusted_rand_score	completeness_score	contingency_matrix	fowlkes_mallows_score	homogeneity_score	v_measure_score	accuracy	precision	recall	f1score	calinski_harabasz_score	davies_bouldin_score	silhouette_score	normalized_partition_coefficient	partition_entropy	xie_beni
KMeans	0.031618338567086325	0.018321580106057233	0.03076785545260315	"[[166 154 237  72]
 [172  87  66   8]
 [159 106 224  22]]"	0.33888649253682895	0.03633470827253971	0.03332036780654689	0.32382892057026474	[0.33400402414486924, 0.2507204610951009, 0.4250474383301708]	[0.26391096979332274, 0.26126126126126126, 0.4383561643835616]	[0.29484902309058614, 0.2558823529411765, 0.4315992292870906]	389.45228440755113	1.4416787812719658	0.2449891540315289			
Bisecting KMeans	0.027155418782743655	0.025420507168702762	0.026196689310509558	"[[168 246 164  51]
 [ 89  42 151  51]
 [109 172 186  44]]"	0.3344603002887961	0.032054999962739354	0.02883126258993873	0.26883910386965376	[0.45901639344262296, 0.09130434782608696, 0.3712574850299401]	[0.2670906200317965, 0.12612612612612611, 0.3639921722113503]	[0.3376884422110553, 0.10592686002522067, 0.3675889328063241]	415.67133519550566	1.3326337305173428	0.25076712624080216			
KMedians	0.020823524594926306	0.02202572205575732	0.019974249327210553	"[[107 138 144 240]
 [128  80  58  67]
 [110  85 143 173]]"	0.31742456675433556	0.02566299948527337	0.022464068870983588	0.2240325865580448	[0.3101449275362319, 0.264026402640264, 0.4144927536231884]	[0.17011128775834658, 0.24024024024024024, 0.27984344422700586]	[0.21971252566735114, 0.25157232704402516, 0.33411214953271023]	291.1331379184015	1.902772498072439	0.1397679416060103			
FuzzyCMeans	0.04072969776326392	0.03426593155121988	0.03966218087876469	"[[176  29 187 237]
 [198  17  77  41]
 [160  22 214 115]]"	0.3537525632076672	0.045639559828578855	0.04244144286243064	0.27630685675492195	[0.3295880149812734, 0.25, 0.4476987447698745]	[0.27980922098569155, 0.05105105105105105, 0.4187866927592955]	[0.30266552020636284, 0.08478802992518703, 0.4327603640040445]	220.5672732393563	1.8463544333154824	0.08934400717447241	0.00013185616566809463	1.3860961651122483	4248.971487831518
