Names	adjusted_mutual_info_score	adjusted_rand_score	completeness_score	contingency_matrix	fowlkes_mallows_score	homogeneity_score	v_measure_score	accuracy	precision	recall	f1score	calinski_harabasz_score	davies_bouldin_score	silhouette_score	normalized_partition_coefficient	partition_entropy	xie_beni
KMeans	0.5041194732083807	0.4208952758020812	0.37588647560751764	"[[ 97   0  19 125]
 [  9 270 177   2]]"	0.6719513325302409	0.7701870452495242	0.5052082414065706	0.525035765379113	[0.9150943396226415, 1.0]	[0.4024896265560166, 0.5895196506550219]	[0.5590778097982709, 0.7417582417582418]	502.6199471186684	1.656153217890413	0.25535665548445025			
Bisecting KMeans	0.49451486372334386	0.40013950401415144	0.36901930821656126	"[[122 100   0  19]
 [  2   9 189 258]]"	0.6586006282467524	0.7544819577959585	0.4956263398187196	0.18741058655221746	[0.9838709677419355, 0.08256880733944955]	[0.5062240663900415, 0.019650655021834062]	[0.6684931506849315, 0.031746031746031744]	498.62682537441356	1.6225966800996756	0.23122962455079749			
KMedians	0.5427500541664981	0.45165086041853064	0.4044523511951811	"[[105   0   8 128]
 [ 12 283 162   1]]"	0.6924468611642729	0.8294218428580868	0.5437533519922387	0.5550786838340487	[0.8974358974358975, 1.0]	[0.43568464730290457, 0.6179039301310044]	[0.5865921787709496, 0.7638326585695008]	473.80931163194185	1.6995097042499445	0.2451911544537146			
FuzzyCMeans	0.6209038957991766	0.7520943084484983	0.5060811531951092	"[[ 94  53   8  86]
 [  1   1 444  12]]"	0.8794591461861404	0.8064133729567013	0.6218854274911935	0.13590844062947066	[0.9894736842105263, 0.018518518518518517]	[0.3900414937759336, 0.002183406113537118]	[0.5595238095238095, 0.00390625]	482.5618448462854	2.427037328446172	0.49726765520819616	0.5205635551180104	0.6984734148294471	3.2188586396862404
