Names	adjusted_mutual_info_score	adjusted_rand_score	completeness_score	contingency_matrix	fowlkes_mallows_score	homogeneity_score	v_measure_score	accuracy	precision	recall	f1score	calinski_harabasz_score	davies_bouldin_score	silhouette_score	normalized_partition_coefficient	partition_entropy	xie_beni
KMeans	0.10235941459005075	0.001275965947235286	0.07247867101101864	"[[   95  1658  1061  8873]
 [ 8154  9152  8837 11012]]"	0.42605452884677536	0.1743309546823954	0.1023888422176664	0.18932476147577904	[0.011516547460298218, 0.8466234967622571]	[0.008128689997433046, 0.2463194724801507]	[0.009530497592295344, 0.38161159178567705]	5806.407721408103	2.4851061496240954	0.16465510389269997			
Bisecting KMeans	0.09701134243213286	0.008210944588519306	0.068893775059906	"[[ 8874  1044   260  1509]
 [11019 11714  6988  7434]]"	0.43451606382767444	0.1640766251005752	0.09704115282010858	0.4215224601777159	[0.4460865631126527, 0.9181689920050164]	[0.7593052109181141, 0.3152738527788992]	[0.5620012666244459, 0.4693767154849438]	5979.042221195466	2.6190002377556314	0.15753387739325317			
KMedians	0.09547471298819053	0.025202231604377397	0.06885340025475027	"[[  584  1614   615  8874]
 [ 9679 13576  2871 11029]]"	0.4610339026063764	0.1558225488035459	0.09550565929691118	0.28991441791900413	[0.05690343954009549, 0.8937458854509546]	[0.049970052194746296, 0.3653882384605033]	[0.0532118451025057, 0.5187123889578755]	5456.934667022181	2.680913729896083	0.14677649902780066			
FuzzyCMeans	0.09854442846964556	0.008662162600015516	0.0704183934813543	"[[ 1689   245   818  8935]
 [11882  9331  4573 11369]]"	0.4427305139532158	0.16424780327369526	0.09857462727320794	0.22562548626182383	[0.12445656178616167, 0.9744152046783626]	[0.14451955163857277, 0.2511371282465348]	[0.13373980521023043, 0.39934946823307865]	4765.883272450081	3.261202589085653	0.12231253145249281	3.72816168085303e-07	1.3862938019898579	304416.13821393397
