Metric	Algorithm	Estimated Clusters	Estimated noise points
euclidean	auto	1	286
euclidean	ball_tree	1	286
euclidean	kd_tree	1	286
euclidean	brute	1	286
cosine	auto	1	7
cosine	brute	1	7
l1	auto	1	308
l1	ball_tree	1	308
l1	kd_tree	1	308
l1	brute	1	308
l2	auto	1	286
l2	ball_tree	1	286
l2	kd_tree	1	286
l2	brute	1	286
manhattan	auto	1	308
manhattan	ball_tree	1	308
manhattan	kd_tree	1	308
manhattan	brute	1	308
